Date,Stock_Close,Exchange_Close
2021-09-28,76300,1186.8900146484375
2021-09-29,74100,1187.4300537109375
2021-09-30,74100,1183.719970703125
2021-10-05,72200,1187.1700439453125
2021-10-06,71300,1191.3800048828125
2021-10-07,71600,1191.1500244140625
2021-10-12,69000,1196.8900146484375
2021-10-13,68800,1186.7099609375
2021-10-14,69400,1182.1300048828125
2021-10-18,70200,1185.6800537109375
2021-10-19,70600,1175.6500244140625
2021-10-20,70300,1174.5899658203125
2021-10-21,70200,1176.550048828125
2021-10-25,70200,1167.06005859375
2021-10-26,71100,1167.3299560546875
2021-10-27,70100,1172.1700439453125
2021-10-28,70700,1167.3699951171875
2021-11-01,69900,1174.3800048828125
2021-11-02,71500,1176.5699462890625
2021-11-03,70400,1178.0400390625
2021-11-04,70600,1179.3399658203125
2021-11-05,70200,1185.8299560546875
2021-11-08,70600,1180.5
2021-11-09,70500,1199.8599853515625
2021-11-10,70200,1177.5
2021-11-11,69900,1184.1400146484375
2021-11-12,70600,1183.1099853515625
2021-11-15,71400,1179.1099853515625
2021-11-16,71300,1183.510009765625
2021-11-17,70700,1184.050048828125
2021-11-18,70200,1181.22998046875
2021-11-19,71200,1182.9000244140625
2021-11-22,74900,1191.6300048828125
2021-11-23,75300,1189.5
2021-11-24,74800,1189.949951171875
2021-11-25,73700,1187.8800048828125
2021-11-26,72300,1190.219970703125
2021-11-29,72300,1194.6099853515625
2021-11-30,71300,1190.739990234375
2021-12-01,74400,1182.8599853515625
2021-12-02,75800,1177.1099853515625
2021-12-03,75600,1176.77001953125
2021-12-06,76300,1183.1400146484375
2021-12-07,77400,1180.56005859375
2021-12-08,77400,1176.8399658203125
2021-12-09,78200,1172.56005859375
2021-12-10,76900,1177.3299560546875
2021-12-13,76800,1178.969970703125
2021-12-14,77000,1185.0999755859375
2021-12-15,77600,1184.22998046875
2021-12-16,77800,1184.4000244140625
2021-12-17,78000,1186.1500244140625
2021-12-20,77100,1186.3900146484375
2021-12-21,78100,1190.1199951171875
2021-12-22,79400,1191.27001953125
2021-12-23,79900,1187.77001953125
2021-12-24,80500,1185.5
2021-12-27,80200,1185.9200439453125
2021-12-28,80300,1185.6500244140625
